Class,a3,a23,a35,a46_ ,a47_Blockwell say NOTSAFU
False,95469.27,0.0,0.0,False,False
False,52953.02,0.0,0.0,False,False
False,314180.58,0.0,0.0,False,False
False,327.87,0.0,0.0,False,False
False,66.55,0.0,0.0,False,False
False,790629.43,19.0,0.0,False,False
False,10.03,0.0,0.0,False,False
False,1610.6,5.0,0.0,False,False
False,21.48,0.0,0.0,False,False
False,76156.38,0.0,0.0,False,False
False,189102.7,3.0,0.0,False,False
False,15.67,0.0,0.0,False,False
False,3.73,0.0,0.0,False,False
False,14.03,0.0,0.0,False,False
False,72.55,0.0,0.0,False,False
False,71.75,0.0,0.0,False,False
False,330.62,0.0,0.0,False,False
False,598.23,0.0,0.0,False,False
False,203015.42,73.0,2.11985,False,False
False,332.73,0.0,0.0,False,False
False,2.8,0.0,0.0,False,False
False,17157.67,5.0,26.40937,False,False
False,791365.95,0.0,0.0,False,False
False,323.08,0.0,0.0,False,False
False,331.93,0.0,0.0,False,False
False,55167.15,0.0,0.0,False,False
False,575636.87,0.0,0.0,False,False
False,48.88,0.0,0.0,False,False
False,71.9,0.0,0.0,False,False
False,1.58,0.0,0.0,False,False
False,54.97,0.0,0.0,False,False
False,917999.92,0.0,0.0,False,False
False,61584.9,0.0,0.0,False,False
False,681582.07,75.0,0.0,False,False
False,71.53,0.0,0.0,False,False
False,3.87,0.0,0.0,False,False
False,315.47,0.0,0.0,False,False
False,53.03,0.0,0.0,False,False
False,382.15,0.0,0.0,False,False
False,324.37,0.0,0.0,False,False
False,12.82,0.0,0.0,False,False
False,3.52,0.0,0.0,False,False
False,607484.77,11.0,0.0,False,False
False,2312.95,0.0,0.0,False,False
False,10.87,0.0,0.0,False,False
False,5.8,0.0,0.0,False,False
False,794993.12,0.0,0.0,False,False
False,199020.9,0.0,0.0,False,False
False,327.12,0.0,0.0,False,False
False,710352.4,35.0,0.0,False,False
False,57.7,0.0,0.0,False,False
False,889416.88,21.0,0.0,False,False
False,801929.58,3.0,1.066527,False,False
False,755957.72,101.0,0.0,False,False
False,3.87,0.0,0.0,False,False
False,994303.05,141.0,0.0,False,False
False,14650.52,0.0,0.0,False,False
False,955991.27,22.0,0.0,False,False
False,24563.1,7.0,29.129759,False,False
False,16990.2,0.0,0.0,False,False
False,323.72,0.0,0.0,False,False
False,321.02,0.0,0.0,False,False
False,980450.8,7.0,0.0,False,False
False,478627.65,4.0,2.164149,False,False
False,74.15,0.0,0.0,False,False
False,443352.32,12.0,0.0,False,False
False,15909.2,0.0,0.0,False,False
False,10046.77,6.0,0.510023,False,False
False,330.63,0.0,0.0,False,False
False,326.65,0.0,0.0,False,False
False,1026242.37,164.0,0.0,False,False
False,55.38,0.0,0.0,False,False
False,316.65,0.0,0.0,False,False
False,331.1,0.0,0.0,False,False
False,1542761.22,19.0,5.0,False,False
False,9.2,0.0,0.0,False,False
False,2597.05,0.0,0.0,False,False
False,990952.88,17.0,0.0,False,False
False,326.93,0.0,0.0,False,False
False,321526.67,11.0,0.0,False,False
False,73.22,0.0,0.0,False,False
False,629558.2,0.0,0.0,False,False
False,99.67,0.0,0.0,False,False
False,25653.48,0.0,0.0,False,False
False,255.4,0.0,0.0,False,False
False,12.98,0.0,0.0,False,False
False,982742.9,420.0,0.0,False,False
False,7.57,0.0,0.0,False,False
False,7.87,0.0,0.0,False,False
False,46.37,0.0,0.0,False,False
False,796393.9,0.0,0.0,False,False
False,180.02,0.0,0.0,False,False
False,327.37,0.0,0.0,False,False
False,341695.82,0.0,0.0,False,False
False,310.83,0.0,0.0,False,False
False,995280.68,127.0,0.0,False,False
False,615209.03,0.0,0.0,False,False
False,642143.43,0.0,0.0,False,False
False,326.97,0.0,0.0,False,False
False,2350.32,0.0,0.0,False,False
False,563551.12,2.0,0.213367,False,False
False,1547.22,0.0,0.0,False,False
False,674.95,0.0,0.0,False,False
False,51.95,0.0,0.0,False,False
False,265214.08,7.0,0.0,False,False
False,130590.05,6.0,12.67858,False,False
False,68.37,0.0,0.0,False,False
False,1339.3,0.0,0.0,False,False
False,13.15,0.0,0.0,False,False
False,15.1,0.0,0.0,False,False
False,324.73,0.0,0.0,False,False
False,87988.67,36.0,0.0,False,False
False,251870.42,46.0,0.0,False,False
False,141805.97,70.0,0.0,False,False
False,501071.13,0.0,0.0,False,False
False,102140.12,0.0,0.0,False,False
False,980145.68,305.0,0.0,False,False
False,3391.85,0.0,0.0,False,False
False,9994.67,0.0,0.0,False,False
False,191451.85,0.0,0.0,False,False
False,7270.62,0.0,0.0,False,False
False,4.17,0.0,0.0,False,False
False,1284742.27,0.0,0.0,False,False
False,3.92,0.0,0.0,False,False
False,62320.25,0.0,0.0,False,False
False,6.23,0.0,0.0,False,False
False,322.35,0.0,0.0,False,False
False,209176.72,0.0,0.0,False,False
False,408137.83,0.0,0.0,False,False
False,113631.18,0.0,0.0,False,False
False,314.92,0.0,0.0,False,False
False,322.95,0.0,0.0,False,False
False,267755.22,0.0,0.0,False,False
False,54540.67,0.0,0.0,False,False
False,536981.08,3.0,6.760423,False,False
False,230217.02,0.0,0.0,False,False
False,356.88,0.0,0.0,False,False
False,65.32,0.0,0.0,False,False
False,17139.98,0.0,0.0,False,False
False,6.45,0.0,0.0,False,False
False,352296.45,36.0,0.433545,False,False
False,422328.02,11.0,0.0,False,False
False,176465.8,0.0,0.0,False,False
False,154447.4,6.0,0.015799,False,False
False,976006.65,43.0,0.0,False,False
False,3.92,0.0,0.0,False,False
False,8.27,0.0,0.0,False,False
False,310.2,0.0,0.0,False,False
False,890010.87,0.0,0.0,False,False
False,1017593.9,8.0,4.0,False,False
False,880400.3,0.0,0.0,False,False
False,68.37,0.0,0.0,False,False
False,96160.73,0.0,0.0,False,False
False,149730.1,24.0,0.0,False,False
False,286816.02,0.0,0.0,False,False
False,102.15,0.0,0.0,False,False
False,315.47,0.0,0.0,False,False
False,78.4,0.0,0.0,False,False
False,293094.58,0.0,0.0,False,False
False,324.1,0.0,0.0,False,False
False,1296.6,0.0,0.0,False,False
False,146014.17,48.0,0.0,False,False
False,324.97,0.0,0.0,False,False
False,71.68,0.0,0.0,False,False
False,674926.03,0.0,0.0,False,False
False,7.53,0.0,0.0,False,False
False,996954.07,19.0,0.0,False,False
False,148629.67,22.0,0.0,False,False
False,69.0,0.0,0.0,False,False
False,307003.17,8.0,0.0,False,False
False,6239.67,0.0,0.0,False,False
False,322.5,0.0,0.0,False,False
False,72.15,0.0,0.0,False,False
False,1002497.0,0.0,0.0,False,False
False,97.55,0.0,0.0,False,False
False,301013.98,0.0,0.0,False,False
False,88331.55,0.0,0.0,False,False
False,58520.67,0.0,0.0,False,False
False,173.47,0.0,0.0,False,False
False,72.45,0.0,0.0,False,False
False,1127393.0,31.0,0.0,False,False
False,927539.2,8.0,944.006893,False,False
False,320.15,0.0,0.0,False,False
False,65629.95,0.0,0.0,False,False
False,413648.58,77.0,0.0,False,False
False,210085.83,14.0,0.02401,False,False
False,66.43,0.0,0.0,False,False
False,646233.3,0.0,0.0,False,False
False,302065.78,4.0,600.0,False,False
False,69.68,0.0,0.0,False,False
False,313.93,0.0,0.0,False,False
False,734165.67,0.0,0.0,False,False
False,558132.17,13.0,1.0,False,False
False,325.23,0.0,0.0,False,False
False,387397.43,0.0,0.0,False,False
False,12.65,0.0,0.0,False,False
False,372128.45,30.0,0.0,False,False
False,1.97,0.0,0.0,False,False
False,67.45,0.0,0.0,False,False
False,298923.97,48.0,1.0,False,False
False,39.15,0.0,0.0,False,False
False,113262.22,12.0,0.0,False,False
False,381.0,0.0,0.0,False,False
False,67.57,0.0,0.0,False,False
False,71.12,0.0,0.0,False,False
False,6002.88,0.0,0.0,False,False
False,318.03,0.0,0.0,False,False
False,0.0,0.0,0.0,False,False
False,306.57,0.0,0.0,False,False
False,67394.65,0.0,0.0,False,False
False,888647.9,0.0,0.0,False,False
False,410.55,0.0,0.0,False,False
False,663.52,0.0,0.0,False,False
False,216039.77,0.0,0.0,False,False
False,17468.72,0.0,0.0,False,False
False,4.9,0.0,0.0,False,False
False,60016.43,0.0,0.0,False,False
False,574178.57,63.0,0.0,False,False
False,32.33,0.0,0.0,False,False
False,1072398.18,176.0,0.0,False,False
False,14.53,0.0,0.0,False,False
False,323.38,0.0,0.0,False,False
False,67768.1,0.0,0.0,False,False
False,70363.92,0.0,0.0,False,False
False,324.37,0.0,0.0,False,False
False,7.73,0.0,0.0,False,False
False,189.75,0.0,0.0,False,False
False,3071.73,0.0,0.0,False,False
False,315.78,0.0,0.0,False,False
False,959668.07,0.0,0.0,False,False
False,204725.9,0.0,0.0,False,False
False,40448.5,0.0,0.0,False,False
False,527077.12,36.0,0.0,False,False
False,44.97,0.0,0.0,False,False
False,324.73,0.0,0.0,False,False
False,162487.73,0.0,0.0,False,False
False,350636.2,37.0,0.0,False,False
False,81145.63,11.0,0.0,False,False
False,263713.08,0.0,0.0,False,False
False,323.08,0.0,0.0,False,False
False,280825.65,0.0,0.0,False,False
False,468324.43,0.0,0.0,False,False
False,2.83,0.0,0.0,False,False
False,325.73,0.0,0.0,False,False
False,73.68,0.0,0.0,False,False
False,4264.35,3.0,0.011632,False,False
False,2901.22,311.0,0.0,False,False
False,65.82,0.0,0.0,False,False
False,726979.05,288.0,0.0,False,False
False,388724.08,73.0,0.0,False,False
False,783263.5,0.0,0.0,False,False
False,327.57,0.0,0.0,False,False
False,45.7,0.0,0.0,False,False
False,3161.45,4.0,824.0076,False,False
False,314.65,0.0,0.0,False,False
False,320.73,0.0,0.0,False,False
False,353405.12,0.0,0.0,False,False
False,449570.33,18.0,0.479871,False,False
False,930590.25,10.0,1000.0,False,False
False,262278.12,45.0,0.0,False,False
False,78.0,0.0,0.0,False,False
False,728734.78,38.0,0.0,False,False
False,329.4,0.0,0.0,False,False
False,72.55,0.0,0.0,False,False
False,1002093.87,0.0,0.0,False,False
False,2826.33,0.0,0.0,False,False
False,991804.47,119.0,0.0,False,False
False,633.2,0.0,0.0,False,False
False,323.5,0.0,0.0,False,False
False,484586.98,20.0,0.0,False,False
False,1038322.7,0.0,0.0,False,False
False,1.87,0.0,0.0,False,False
False,66.55,0.0,0.0,False,False
False,328.02,0.0,0.0,False,False
False,317.73,0.0,0.0,False,False
False,62.02,0.0,0.0,False,False
False,64.08,0.0,0.0,False,False
False,130442.18,0.0,0.0,False,False
False,35558.78,0.0,0.0,False,False
False,66.47,0.0,0.0,False,False
False,314.92,0.0,0.0,False,False
False,5.32,0.0,0.0,False,False
False,4.45,0.0,0.0,False,False
False,68.97,0.0,0.0,False,False
False,489429.62,7.0,0.0,False,False
False,642194.28,23.0,0.0,False,False
False,9817.67,0.0,0.0,False,False
False,46.4,0.0,0.0,False,False
False,60.97,0.0,0.0,False,False
False,756555.68,2.0,0.527205,False,False
False,987307.37,27.0,0.0,False,False
False,11.65,0.0,0.0,False,False
False,46.37,0.0,0.0,False,False
False,858238.48,29.0,0.0,False,False
False,78.1,0.0,0.0,False,False
False,69.68,0.0,0.0,False,False
False,139534.27,51.0,0.0,False,False
False,3.13,0.0,0.0,False,False
False,18692.75,0.0,0.0,False,False
False,1264774.13,985.0,0.0,False,False
False,168647.83,2.0,0.026177,False,False
False,148414.97,10.0,714.807832,False,False
False,63.45,0.0,0.0,False,False
False,1116489.98,6.0,0.0,False,False
False,4.67,0.0,0.0,False,False
False,23130.65,0.0,0.0,False,False
False,322.62,0.0,0.0,False,False
False,525.72,0.0,0.0,False,False
False,322.0,0.0,0.0,False,False
False,63.4,0.0,0.0,False,False
False,152473.25,0.0,0.0,False,False
False,369.67,0.0,0.0,False,False
False,220649.7,207.0,0.0,False,False
False,30049.57,0.0,0.0,False,False
False,653215.9,135.0,0.0,False,False
False,819090.13,98.0,0.0,False,False
False,149448.82,0.0,0.0,False,False
False,2.23,0.0,0.0,False,False
False,57.8,0.0,0.0,False,False
False,317.83,0.0,0.0,False,False
False,312.95,0.0,0.0,False,False
False,319835.12,54.0,0.0,False,False
False,253392.72,36.0,0.0,False,False
False,536343.98,40.0,0.0,False,False
False,5826.13,0.0,0.0,False,False
False,24731.42,0.0,0.0,False,False
False,340129.2,0.0,0.0,False,False
False,623697.85,0.0,0.0,False,False
False,298787.93,15.0,0.0,False,False
False,121402.32,0.0,0.0,False,False
False,559898.43,0.0,0.0,False,False
False,861034.55,2.0,0.01,False,False
False,310545.0,7.0,1.0,False,False
False,418708.72,0.0,0.0,False,False
False,666270.58,0.0,0.0,False,False
False,705078.12,36.0,0.0,False,False
False,410.85,0.0,0.0,False,False
False,32773.28,0.0,0.0,False,False
False,323.38,0.0,0.0,False,False
False,233625.1,0.0,0.0,False,False
False,934281.92,17.0,0.0,False,False
False,79246.45,0.0,0.0,False,False
False,87489.5,0.0,0.0,False,False
False,667030.65,0.0,0.0,False,False
False,103068.63,0.0,0.0,False,False
False,1884.42,0.0,0.0,False,False
False,310.12,0.0,0.0,False,False
False,323.68,0.0,0.0,False,False
False,502495.97,0.0,0.0,False,False
False,55.62,0.0,0.0,False,False
False,1424221.78,116.0,0.0,False,False
False,88324.98,0.0,0.0,False,False
False,1016313.18,18.0,0.0,False,False
False,64.38,0.0,0.0,False,False
False,17.8,0.0,0.0,False,False
False,293788.7,2.0,1379.576793,False,False
False,266432.08,134.0,0.0,False,False
False,314.2,0.0,0.0,False,False
False,299762.78,0.0,0.0,False,False
False,242623.3,5.0,0.0,False,False
False,6.35,0.0,0.0,False,False
False,315.08,0.0,0.0,False,False
False,59.95,0.0,0.0,False,False
False,494459.63,62.0,0.0,False,False
False,6.42,0.0,0.0,False,False
False,322.58,0.0,0.0,False,False
False,15.28,0.0,0.0,False,False
False,77325.5,0.0,0.0,False,False
False,203290.63,0.0,0.0,False,False
False,68.3,0.0,0.0,False,False
False,225586.83,0.0,0.0,False,False
False,74576.42,0.0,0.0,False,False
False,327.37,0.0,0.0,False,False
False,534882.95,0.0,0.0,False,False
False,997869.97,52.0,0.0,False,False
False,329.43,0.0,0.0,False,False
False,70.3,0.0,0.0,False,False
False,21964.78,0.0,0.0,False,False
